pro/lib,idiom,final
,largePhoto = (ImageView) this.findViewById(R.id.img_photo);,"Yes, the code fragment you provided is a common coding pattern that can occur in multiple projects.

The code fragment is written in Java and is used to obtain a reference to an ImageView object with the ID ""img_photo"" in the current view hierarchy. This is done by calling the findViewById() method on the current object (this), passing in the ID of the ImageView as a parameter.

This pattern is commonly used in Android app development when you want to reference a specific view in your app's layout. The specific ID used (R.id.img_photo) will depend on the ID assigned to the ImageView in the XML layout file of the app.

Overall, this code fragment is a standard way of obtaining a reference to a view in an Android app, and you may see it frequently in Android app development projects."
,LocationManager lm = (LocationManager) context.getSystemService(Context.LOCATION_SERVICE);,"Yes, the code fragment LocationManager lm = (LocationManager) context.getSystemService(Context.LOCATION_SERVICE); is a common coding pattern in Android projects that require location services.

This code creates an instance of the LocationManager class, which is part of the Android framework and provides access to system location services. The context.getSystemService method is used to obtain a reference to the system location service, which is then cast to a LocationManager object.

This pattern is commonly used in Android projects that need to obtain the user's current location or track the device's movement over time. Examples of such projects could be navigation apps, fitness tracking apps, or location-based social networking apps.

Therefore, you may see this code pattern in many Android projects that involve location-based functionality."
,"mPreferences = getSharedPreferences(SHARED_PREFERENCES_NAME, Context.MODE_PRIVATE);","Yes, the code fragment mPreferences = getSharedPreferences(SHARED_PREFERENCES_NAME, Context.MODE_PRIVATE); is a common coding pattern in Android projects that need to store and retrieve application settings or other data persistently.

This code creates an instance of the SharedPreferences class, which is part of the Android framework and provides a way to store and retrieve key-value pairs of data. The getSharedPreferences method is used to obtain a reference to the shared preferences object with the given name and mode.

This pattern is commonly used in Android projects to save and retrieve user preferences, such as language settings, font size, or theme preferences. It can also be used to store and retrieve other persistent data, such as high scores, user account information, or cached data.

Therefore, you may see this code pattern in many Android projects that involve persistent storage of application data."
,switch (item.getItemId()){},"Yes, the code fragment switch (item.getItemId()) { } is a common coding pattern in Android projects that use menus or other types of user interface elements that can be selected by the user.

This code block is part of an event listener that is triggered when the user selects an item from a menu, clicks a button, or performs some other action in the user interface. The switch statement is used to determine which item was selected or which action was performed, and then execute the appropriate code block based on that selection.

This pattern is commonly used in Android projects that use menus, navigation drawers, list views, or other types of user interface elements that allow the user to select items or perform actions. The switch statement is a convenient way to handle multiple possible selections or actions with a single event listener.

Therefore, you may see this code pattern in many Android projects that involve user interface elements that allow the user to select items or perform actions."
,locationText = (TextView)findViewById(R.id.location_text);,"Yes, the code fragment locationText = (TextView)findViewById(R.id.location_text); is a common coding pattern in Android projects that involve displaying information on the screen.

This code retrieves a reference to a TextView object with the specified ID, using the findViewById method. The TextView object represents a view that can display text on the screen.

This pattern is commonly used in Android projects that involve displaying information on the screen, such as displaying the user's location, text messages, or other types of information. The findViewById method is used to locate a specific view within the layout file, and then a reference to that view is stored in a variable for later use.

Therefore, you may see this code pattern in many Android projects that involve displaying information on the screen using views such as TextView, ImageView, EditText, and so on."
,if (account_id != other.account_id) return false;,"Yes, the code fragment if (account_id != other.account_id) return false; is a common coding pattern in object-oriented programming languages such as Java.

This code block is typically part of an implementation of the equals method, which is used to determine whether two objects are equal to each other. In this example, the if statement checks whether the account_id of the current object is equal to the account_id of another object, and returns false if they are not equal.

This pattern is commonly used in Java projects that involve creating custom classes and implementing methods such as equals, hashCode, and toString to define the behavior of objects. The equals method is often used to compare the state of two objects and determine whether they are equal or not.

Therefore, you may see this code pattern in many Java projects that involve custom classes and objects, especially those that need to be compared with each other based on certain properties or fields."
,"String sql = ""SELECT "" \n          \n  + "" -1 as "" + LocationTable._ID + "", "" \n          \n  + ""\'object-0\'"" + LocationTable.ID + "", "" \n      + "" \'\' as "" + LocationTable.BLDGNUM + "", ""\n      + "" \'\' as sort_value, ""\n      + "" \'"" + searchTerm + ""\' as name, "" \n      + "" 0 as leased_bldg_services,""\n      + "" \'\' as contact_email_bldg_services,""\n      + "" \'\' as contact_name_bldg_services,""\n      + "" \'\' as contact_phone_bldg_services,""\n      + "" \'UserTyped\' as categoryName,""\n      + "" \'\' as contents_name,""\n      + "" \'\' as altname,""\n      + "" ? as display_name""\n              + "" UNION "" \n              + "" SELECT ""\n          + LOCATION_TABLE + ""."" + LocationTable._ID + "", ""\n              + LOCATION_TABLE + ""."" + LocationTable.ID + "", ""\n          + LOCATION_TABLE + ""."" + LocationTable.BLDGNUM + "", ""\n          + LOCATION_TABLE + ""."" + LocationTable.ID + "" as sort_value, ""\n          + LOCATION_TABLE + ""."" + LocationTable.NAME + "", ""\n  + LOCATION_TABLE + ""."" + LocationTable.LEASED_BLDG_SERVICES + "",""\n  + LOCATION_TABLE + ""."" + LocationTable.CONTACT_EMAIL_BLDG_SERVICES + "",""\n  + LOCATION_TABLE + ""."" + LocationTable.CONTACT_NAME_BLDG_SERVICES + "",""\n  + LOCATION_TABLE + ""."" + LocationTable.CONTACT_PHONE_BLDG_SERVICES + "",""\n          + CATEGORY_TABLE + ""."" + CategoryTable.NAME + "",""\n          + LOCATION_CONTENT_TABLE + ""."" + LocationContentTable.NAME + "",""\n          + LOCATION_CONTENT_ALTNAME_TABLE + ""."" + LocationContentAltnameTable.ALTNAME + "",""\n          + "" CASE WHEN length("" + LOCATION_TABLE + ""."" + LocationTable.BLDGNUM + "") > 0 THEN "" \n          + LOCATION_TABLE + ""."" + LocationTable.BLDGNUM + "" || \' - \' || "" + LOCATION_TABLE + ""."" + LocationTable.NAME \n          + "" ELSE "" + LOCATION_TABLE + ""."" + LocationTable.NAME + "" END as display_name ""\n          + "" FROM "" + LOCATION_TABLE\n          + "" LEFT JOIN "" + LOCATION_CATEGORY_TABLE + "" on "" + LOCATION_TABLE + ""."" + LocationTable.ID + "" = "" + LOCATION_CATEGORY_TABLE + ""."" + LocationCategoryTable.LOCATION_ID\n          + "" LEFT JOIN "" + CATEGORY_TABLE + "" on "" + LOCATION_CATEGORY_TABLE + ""."" + LocationCategoryTable.CATEGORY_ID + "" = "" + CATEGORY_TABLE + ""."" + CategoryTable.ID\n          + "" LEFT JOIN "" + LOCATION_CONTENT_TABLE + "" on "" + LOCATION_TABLE + ""."" + LocationTable.ID + "" = "" + LOCATION_CONTENT_TABLE + ""."" + LocationContentTable.LOCATION_ID\n          + "" LEFT JOIN "" + LOCATION_CONTENT_ALTNAME_TABLE + "" on "" + LOCATION_TABLE + ""."" + LocationTable.ID + "" = "" + LOCATION_CONTENT_ALTNAME_TABLE + ""."" + LocationContentAltnameTable.LOCATION_ID\n          + "" WHERE ""\n          + extraWhereClause\n          + AND\n          + ""(""\n          + "" upper(display_name) like \'%"" + searchTermUppercase + ""%\'""\n          + "" OR ""\n          + "" upper("" + CATEGORY_TABLE + ""."" + CategoryTable.NAME + "") like \'%"" + searchTermUppercase + ""%\'""\n  + "" OR ""\n  + "" upper("" + LOCATION_CONTENT_TABLE + ""."" + LocationContentTable.NAME + "") like \'%"" + searchTermUppercase + ""%\'""\n  + "" OR ""\n  + "" upper("" + LOCATION_CONTENT_ALTNAME_TABLE + ""."" + LocationContentAltnameTable.ALTNAME + "") like \'%"" + searchTermUppercase + ""%\'""\n  + "")""\n  + ""AND ("" + LOCATION_TABLE + ""."" + LocationTable.HIDDEN_BLDG_SERVICES + ""= 0)""\n  + "" GROUP BY "" + LOCATION_TABLE + ""."" + LocationTable.ID \n  + "" ORDER BY sort_value "";return sql;","It is possible that a code fragment like this could occur in multiple projects, particularly in projects that involve database queries or searching for data based on user input. However, the specific SQL query shown here is likely unique to the project it was written for, as it includes table and column names specific to that project's database schema."
,"MenuInflater inflater = getMenuInflater();inflater.inflate(R.menu.tracklogger_menu, menu);","Yes, the code fragment you provided is a common coding pattern that can occur in multiple Android projects.

This code is used to inflate a menu resource file and add it to the options menu of an Android app. MenuInflater is an Android class used to create a menu from an XML resource file, and getMenuInflater() is a method of the Activity class that retrieves an instance of MenuInflater. The inflate() method is then called on the MenuInflater instance to inflate the menu resource file and add it to the menu.

The R.menu.tracklogger_menu part of the code refers to the ID of the menu resource file, which is defined in the res/menu directory of an Android project.

Overall, this code fragment is a standard way to add a menu to an Android app and can be found in many Android projects."
,if (convertView == null){holder.placeName = (TextView) convertView.findViewById(R.id.placeName);},"Yes, the code fragment you provided is a common coding pattern that can occur in multiple Android projects.

This code is typically used in the getView() method of an ArrayAdapter or RecyclerView adapter in Android. The purpose of this code is to avoid repeatedly inflating the same view by checking if the convertView parameter is null.

If convertView is null, it means that a new view needs to be created, and the view is inflated from an XML layout file. The findViewById() method is then called on the convertView to find and obtain a reference to the TextView with the ID of placeName. The holder.placeName field is then set to this reference.

If convertView is not null, it means that the view has already been inflated and is being recycled. In this case, the findViewById() method is not called again, and the reference to holder.placeName is simply retrieved from the recycled view.

Overall, this code fragment is a standard way to efficiently recycle views in an Android app and can be found in many Android projects that use ArrayAdapter or RecyclerView adapters."
,"try{URI uri = new URI(        NETWORK_PROTOCOL, null, SERVER_HOST, SERVER_PORT,         ""/udj/0_6/players/""+playerId+""/active_playlist"",        null, null);}","The code fragment you provided is creating a URI object with a specific network protocol, server host, port, and path, and assigning it to the variable uri.

While it's difficult to say with certainty without additional context, this code fragment appears to be a common pattern that could occur in multiple projects that require making network requests to a specific endpoint. It's possible that this code is used to create a URI for a REST API endpoint, for example.

However, it's worth noting that the use of specific protocols, server hosts, ports, and paths will vary depending on the specific project and its requirements. Therefore, while the code pattern may be common, the values used for each parameter will likely differ between projects."
