,pro/lib,idiom,final
2,completion_result_lib_8_combine1.pkl,SearchLookup lookup = searchContext.lookup();lookup.setNextReader(reader);lookup.setNextDocId(docId);List<Object> values = lookup.source().extractRawValues(mapper.names().sourcePath());,"Yes, it's possible for this code fragment to occur in multiple Java projects, particularly those that involve searching and indexing of data.

The code fragment appears to be using the Lucene library to perform a search and retrieve a list of raw values based on a specific search query. The SearchLookup object is used to access the search context and retrieve the necessary data, while the mapper.names().sourcePath() method appears to be used to specify the path to the desired data.

However, the specific usage and context of this code fragment would depend on the specific project it is used in, and it's difficult to say for certain whether it is a common coding pattern without additional information."
3,completion_result_lib_8_combine1.pkl,if (!getField().equals(field)){},
5,completion_result_lib_8_combine1.pkl,"Lucene40StoredFieldsReader(fieldInfos, numTotalDocs, size, fieldsStream.clone(), indexStream.clone());",
6,completion_result_lib_8_combine1.pkl,long startOffset = indexStream.readLong();long lastOffset = startOffset;while (count < numDocs){lengths[count++] = (int) (offset-lastOffset);lastOffset = offset;} fieldsStream.seek(startOffset);,"Yes, this code fragment appears to be a common coding pattern that can occur in multiple Java projects. It involves reading data from a stream and using a loop to iterate through the data and process it in some way. The use of variables to keep track of offsets and lengths is also a common programming technique."
7,completion_result_lib_8_combine1.pkl,try{} catch (CloneNotSupportedException e){throw new RuntimeException(e);},
8,completion_result_lib_8_combine1.pkl,"return new FieldComparator<Integer>(){int seed        private final int[] values = new int[numHits]        int bottomVal        @Override
        public int compare(int slot1, int slot2){return values[slot1] - values[slot2]  
        }
        @Override
        public void setBottom(int slot){bottomVal = values[slot]        }
        @Override
        public int compareBottom(int doc){return bottomVal - hash(doc+seed)        }
        @Override
        public void copy(int slot, int doc){values[slot] = hash(doc+seed)        }
        @Override
        public FieldComparator setNextReader(AtomicReaderContext context){seed = getSeed(fieldname, context)          return this        }
        @Override
        public Integer value(int slot){return values[slot]        }
        @Override
        public int compareDocToValue(int doc, Integer valueObj){return hash(doc+seed) - valueObj.intValue()        }
      }","The code fragment appears to be a custom implementation of a FieldComparator for sorting search results in Apache Lucene. While the general concept of creating a custom FieldComparator can be common in Java projects that use Lucene for search functionality, the specific implementation details and code syntax used in this fragment may not be directly applicable to other projects."
9,completion_result_lib_8_combine1.pkl,"Query q = QueryParsing.parseQuery(cmd.query, schema);",
10,completion_result_lib_8_combine1.pkl,PropertyDefinitionWrapper propertyDef = cmisDictionaryService.findProperty(propertyName);if (propertyDef != null){return propertyDef.getPropertyLuceneBuilder().getLuceneFieldName();},"Yes, this code fragment is a common coding pattern that can occur in multiple Java projects. It is a simple if statement that checks if an object is not null and then calls a method on it if it is not null. This pattern is used widely in Java for null checking before calling a method or accessing an object's properties to avoid null pointer exceptions."
11,completion_result_lib_8_combine1.pkl," propertyDef.getPropertyLuceneBuilder().buildLuceneEquality(lqp, value, mode, luceneFunction);","It is possible that this code fragment can occur in multiple Java projects that utilize the CMIS (Content Management Interoperability Services) API, which is a standard interface for interacting with Enterprise Content Management (ECM) systems. The buildLuceneEquality method is used to construct a Lucene query that can be used to search for documents based on a specific property value. However, it is not a universal pattern and its occurrence may be limited to projects that use the CMIS API."
12,completion_result_lib_8_combine1.pkl,"propertyDef.getPropertyLuceneBuilder().buildLuceneExists(lqp, not);","Yes, this code fragment is a common pattern that can occur in multiple Java projects. It is a method call to the buildLuceneExists method of an object obtained from a PropertyDefinitionWrapper instance, which is a common way to wrap property definitions in various Java projects. This method is used to generate a Lucene query that checks whether a given property exists in a document or not, and it takes as arguments a Lucene query parser, a boolean flag indicating whether to negate the query or not, and possibly other parameters. The resulting Lucene query can be used to search for documents that have or do not have a specific property."
13,completion_result_lib_8_combine1.pkl,"PropertyDefinitionWrapper propertyDef = cmisDictionaryService.findProperty(propertyName);return propertyDef.getPropertyLuceneBuilder().buildLuceneExists(lqp, not);","Yes, this code fragment is a common coding pattern that can occur in multiple Java projects. It is retrieving a property definition from a service and then using the Lucene builder associated with that property to generate a Lucene query for checking the existence of a property value. This pattern can be used in any project that needs to interact with a CMIS repository and perform queries using Lucene."
14,completion_result_lib_8_combine1.pkl,"propertyDef.getPropertyLuceneBuilder().buildLuceneGreaterThanOrEquals(lqp, value, mode, luceneFunction);","Yes, the code fragment propertyDef.getPropertyLuceneBuilder().buildLuceneGreaterThanOrEquals(lqp, value, mode, luceneFunction) can occur in multiple Java projects where Lucene library is used for building search functionality. This code fragment builds a Lucene query for a greater than or equals comparison for a property value defined in a CMIS dictionary service. The pattern of using Lucene to build search queries for property values is common in many Java projects that require search functionality."
,,for ( LuceneBatchInserterIndex index : indexes.values() ){index.shutdown();},"This code fragment is specific to projects using the Neo4j graph database with the LuceneBatchInserterIndex plugin. While similar code may be used in other Neo4j projects that use the same plugin, it is not a common coding pattern that would occur in multiple Java projects outside of this context."
,,"if (luceneBundle != null){getDependencies().put(DEPENDENCIES_KEY_LUCENE, luceneBundleVersion);} else{getDependencies().put(DEPENDENCIES_KEY_LUCENE, """");}","It's possible for this code fragment to occur in multiple Java projects, as it appears to be a simple conditional statement that checks for the existence of a variable and then sets a value in a map based on whether or not the variable is null.

However, without additional context about the purpose of the code and the variables being used, it's difficult to say for certain whether this specific code fragment is commonly used or not."
,,"if (dependencies == null){dependencies = new HelpProperties(DEPENDENCIES_VERSION_FILENAME, indexDir);}","The code fragment appears to be using a custom class called HelpProperties to manage dependencies in the project. While it is possible that this code fragment or a similar pattern may be used in multiple Java projects, it is not a widely recognized or commonly used pattern or library."
,,"try{Document doc = new Document();doc.add(new Field(FIELD_NAME, name, Field.Store.YES, Field.Index.NOT_ANALYZED));addExtraFields(doc);String pluginId = LocalSearchManager.getPluginId(name);if (relativePath != null);doc.add(new Field(FIELD_INDEX_ID, relativePath, Field.Store.YES, Field.Index.NOT_ANALYZED));}
SearchParticipant participant = null;HelpURLConnection urlc = new HelpURLConnection(url);String id = urlc.getValue(""id"");String pid = urlc.getValue(""participantId"");if (pid != null)
participant = BaseHelpSystem.getLocalSearchManager().getGlobalParticipant(pid);if (participant == null)
participant = BaseHelpSystem.getLocalSearchManager().getParticipant(pluginId, name);if (participant != null);IStatus status = participant.addDocument(this, pluginId, name, url, id, new LuceneSearchDocument(doc));if (status.getSeverity() == IStatus.OK);String filters = doc.get(""filters"");indexedDocs.put(name, filters != null ? filters : ""0"");if (id != null)
doc.add(new Field(""id"", id, Field.Store.YES, Field.Index.NO));if (pid != null)
doc.add(new Field(""participantId"", pid, Field.Store.YES, Field.Index.NO));iw.addDocument(doc);}
return status;}
IStatus status = htmlSearchParticipant.addDocument(this, pluginId, name, url, id, new LuceneSearchDocument(doc));};",the general functionality of indexing documents and adding them to a search index is a common task in many Java projects that use search functionality.
,,"synchronized (searcherCreateLock){if (searcher == null){searcher = new IndexSearcher(luceneDirectory, false);}}","Yes, the code fragment is a common coding pattern that can occur in multiple Java projects.

The pattern involves using a synchronized block to ensure that only one thread at a time can create or access a shared resource (in this case, an IndexSearcher). The if statement checks if the shared resource is null and creates a new instance if it is. This pattern is often used in multi-threaded applications to avoid race conditions and ensure thread safety when accessing shared resources."
,,"QParser q = fp.subQuery(fp.getString(), LuceneQParserPlugin.NAME);return q.getQuery();","Yes, the code fragment is a common coding pattern that can occur in multiple Java projects. It appears to be using the Solr/Lucene library to parse and build a query object from a user-provided string. The QParser class is used to parse the query string, and the resulting Query object is returned. This pattern is often used in search applications where users can input search queries in a text box, and the queries need to be parsed and executed against an index of documents."
,,"if (iter instanceof OpenBitSetIterator && iter.docID() == -1){final OpenBitSetIterator obs = (OpenBitSetIterator) iter;and(obs.arr, obs.words);obs.advance(numBits);}","The code fragment looks like it could be part of a common coding pattern for processing OpenBitSetIterators in a Lucene-based Java project, particularly for operations that require bitwise operations. However, without additional context it's difficult to say for certain whether this specific code fragment is commonly used."
,,Runnable runnable = new Runnable(){public void run(){try{if (_batchCount > 0){_doCommit()},"Yes, this code fragment is a common coding pattern in Java projects. It creates a new instance of an anonymous class that implements the Runnable interface and defines the run() method, and then assigns it to a variable named ""runnable"". This is often used to create and pass a simple implementation of an interface to another part of the code that expects an object of that interface type."
,,"if (PropsValues.LUCENE_STORE_TYPE.equals(_LUCENE_STORE_TYPE_FILE)){}else if (PropsValues.LUCENE_STORE_TYPE.equals(
_LUCENE_STORE_TYPE_JDBC)){}else if (PropsValues.LUCENE_STORE_TYPE.equals(_LUCENE_STORE_TYPE_RAM)){} else{throw new RuntimeException(""Invalid store type "" + PropsValues.LUCENE_STORE_TYPE);}}","Yes, this code fragment is a common coding pattern that can occur in multiple Java projects. It is an example of a common programming construct, a series of if-else statements that check for certain conditions and take different actions based on the condition that is true. The code is checking the value of a property (LUCENE_STORE_TYPE) and taking different actions depending on its value."
,,"Session session = SessionFactoryUtils.getSession(sessionFactory, false);FullTextSession fullTextSession = Search.createFullTextSession(session);","Yes, this code fragment is a common pattern in Java projects that use Hibernate Search, a library that provides full-text search functionality for Hibernate-managed entities. This code creates a FullTextSession instance based on a Hibernate Session obtained from a SessionFactory. The FullTextSession allows executing full-text search queries against indexed entities."
,,"if ( entry.getWebSites().isEmpty() ){} else{for ( WebSite site : entry.getWebSites() ){luceneDocument.add(new Field(""url"", site.getUrl(), Field.Store.YES, Field.Index.NOT_ANALYZED, Field.TermVector.NO));}}","Yes, this code fragment is a common coding pattern that can occur in multiple Java projects. It is used to add a field to a Lucene document for each website associated with an entry, with the field name ""url"" and the URL as its value. This can be useful for search and retrieval of documents by their associated websites."
